,new_movie_id,prediction_user_94255,rating_user_94255,prediction_user_119899,rating_user_119899,prediction_user_137241,rating_user_137241,prediction_user_34970,rating_user_34970,prediction_user_98056,rating_user_98056,prediction_user_42705,rating_user_42705,prediction_user_125225,rating_user_125225,prediction_user_85770,rating_user_85770,prediction_user_89354,rating_user_89354,prediction_user_53088,rating_user_53088,title,mean_rating,n_ratings
0,0,3.747470705951487,3.747470705951487,4.768892183150088,4.768892183150088,4.152639403189456,4.152639403189456,3.6723999671590675,3.6723999671590675,4.803821935499942,4.803821935499942,3.0,3.0,4.191974952067172,4.191974952067172,3.0,3.0,5.0,5.0,4.108457639063632,4.108457639063632,Toy Story (1995),3.921239561324077,49695
1,1,2.68415482267264,2.68415482267264,3.299792989338671,3.299792989338671,2.973969652498995,2.973969652498995,2.6279816172969688,2.6279816172969688,2.3321533344638694,2.3321533344638694,2.6277107737911094,2.6277107737911094,2.9435985229862083,2.9435985229862083,3.0,3.0,3.5137977443588126,3.5137977443588126,2.840987875307833,2.840987875307833,Jumanji (1995),3.2119768016904193,22243
2,2,2.2204936884296287,2.2204936884296287,3.5979815714013923,3.5979815714013923,3.2790142439258445,3.2790142439258445,2.7774425290477622,2.7774425290477622,2.464869632567202,2.464869632567202,2.298844113196169,2.298844113196169,3.052694156016146,3.052694156016146,2.699080064142977,2.699080064142977,2.7875222705257285,2.7875222705257285,2.420418276633059,2.420418276633059,Grumpier Old Men (1995),3.1510404397330194,12735
3,2050,1.932010664786135,1.932010664786135,3.9151512525928367,3.9151512525928367,3.0002396844280113,3.0002396844280113,3.3646872185123313,3.3646872185123313,3.144485875214373,3.144485875214373,2.326966299856936,2.326966299856936,3.702093302453791,3.702093302453791,3.1390454910648216,3.1390454910648216,3.3598164014470924,3.3598164014470924,4.0,4.0,Weird Science (1985),3.2858631469260158,5758
4,4,2.6000427745235313,2.6000427745235313,3.240929200495516,3.240929200495516,2.6639409802806724,2.6639409802806724,2.2374051950824607,2.2374051950824607,2.493178739393984,2.493178739393984,2.187164440001284,2.187164440001284,2.6643018864047874,2.6643018864047874,2.8647681616199363,2.8647681616199363,2.4112752817523826,2.4112752817523826,2.641333951796328,2.641333951796328,Father of the Bride Part II (1995),3.064591727653976,12161
5,2053,2.193655862654482,2.193655862654482,4.533620490874087,4.533620490874087,4.272135748709475,4.272135748709475,3.7660032801282752,3.7660032801282752,3.097868695105349,3.097868695105349,2.2367867372882713,2.2367867372882713,4.45788450464133,4.45788450464133,3.851642265166079,3.851642265166079,3.461548409606253,3.461548409606253,3.8256421826732505,3.8256421826732505,Charlotte's Web (1973),3.5765333333333333,5625
6,5,2.992459847773348,2.992459847773348,4.365647747362887,4.365647747362887,3.8189343951595176,3.8189343951595176,4.083001627768313,4.083001627768313,5.0,5.0,2.790732636297976,2.790732636297976,3.6789694122922767,3.6789694122922767,4.5,4.5,4.14524896367911,4.14524896367911,4.200039877737796,4.200039877737796,Heat (1995),3.8349303318130468,23899
7,6,1.8359199903858054,1.8359199903858054,3.6667362444055427,3.6667362444055427,3.142418517912661,3.142418517912661,2.260185851897036,2.260185851897036,2.6788813613307823,2.6788813613307823,3.0,3.0,3.650789796556269,3.650789796556269,3.3478897057426322,3.3478897057426322,2.231161727751528,2.231161727751528,2.9578560732257713,2.9578560732257713,Sabrina (1995),3.3664840675873777,12961
8,2056,2.203965320433413,2.203965320433413,4.142766132200991,4.142766132200991,3.6585193864953864,3.6585193864953864,4.34595377668265,4.34595377668265,3.086160852755343,3.086160852755343,2.8969540141475547,2.8969540141475547,4.216007902468478,4.216007902468478,3.929523064936434,3.929523064936434,4.017848088587558,4.017848088587558,3.7500848762643684,3.7500848762643684,"Dark Crystal, The (1982)",3.5909774436090225,7980
9,9,2.4609959267032493,2.4609959267032493,3.792583539332186,3.792583539332186,3.3625402443063606,3.3625402443063606,2.9700978539836753,2.9700978539836753,3.6969541005742896,3.6969541005742896,3.0461604140651573,3.0461604140651573,3.562634884561335,3.562634884561335,3.0,3.0,2.5396115325343955,2.5396115325343955,3.1307365439784873,3.1307365439784873,GoldenEye (1995),3.430029305292191,29005
10,10,1.962315931166445,1.962315931166445,4.007373525942599,4.007373525942599,3.4097104959142555,3.4097104959142555,2.5802601717365135,2.5802601717365135,4.0,4.0,2.6261652253520835,2.6261652253520835,3.9363472007167686,3.9363472007167686,3.530880614365374,3.530880614365374,2.898745491350924,2.898745491350924,2.98867656215552,2.98867656215552,"American President, The (1995)",3.667712806959586,18162
11,2060,2.6299804590595115,2.6299804590595115,4.407226278628146,4.407226278628146,3.0,3.0,3.708842366184031,3.708842366184031,3.091888501490389,3.091888501490389,2.344590797270571,2.344590797270571,3.8712183974635948,3.8712183974635948,3.5306529097211707,3.5306529097211707,3.9672339700115073,3.9672339700115073,3.3294329039705146,3.3294329039705146,Sixteen Candles (1984),3.6388856027445877,8453
12,13,2.4378266476047386,2.4378266476047386,3.9825197599780906,3.9825197599780906,4.2978050254238,4.2978050254238,3.5670940868509162,3.5670940868509162,2.65341432317618,2.65341432317618,4.0,4.0,2.864470734442507,2.864470734442507,4.167430593813693,4.167430593813693,4.002964868391787,4.002964868391787,3.2588255844962943,3.2588255844962943,Nixon (1995),3.432082364662903,6022
13,2061,2.275988116110598,2.275988116110598,3.993525101984774,3.993525101984774,4.5,4.5,3.7011702053201545,3.7011702053201545,2.304921998823916,2.304921998823916,2.90170146449927,2.90170146449927,3.7731630794656623,3.7731630794656623,3.4583708412897933,3.4583708412897933,3.946936919535433,3.946936919535433,3.357132225478922,3.357132225478922,Pretty in Pink (1986),3.3580605055946955,7239
14,15,2.850742056216036,2.850742056216036,4.419433309878146,4.419433309878146,4.00273336395148,4.00273336395148,3.8148312114131797,3.8148312114131797,3.537395178521906,3.537395178521906,2.8661642216098655,2.8661642216098655,3.789275243128573,3.789275243128573,5.0,5.0,4.167302384222781,4.167302384222781,4.005807056273257,4.005807056273257,Casino (1995),3.7874554444061173,17394
15,16,2.0978244684589256,2.0978244684589256,4.5080670855892055,4.5080670855892055,4.0,4.0,3.53061358555678,3.53061358555678,5.0,5.0,3.0,3.0,4.2645837806117886,4.2645837806117886,4.338385298098361,4.338385298098361,3.332017406071459,3.332017406071459,4.1649271987331264,4.1649271987331264,Sense and Sensibility (1995),3.9685730875308463,20667
16,17,2.0683912180316795,2.0683912180316795,3.7212567619932044,3.7212567619932044,3.5084984295022834,3.5084984295022834,3.6380937688005317,3.6380937688005317,2.1843817375553,2.1843817375553,3.0,3.0,3.0142676375758994,3.0142676375758994,3.84179277643088,3.84179277643088,4.407638981188571,4.407638981188571,2.979187145079409,2.979187145079409,Four Rooms (1995),3.3736305977320775,5203
17,18,2.953904464091097,2.953904464091097,3.2399516843211997,3.2399516843211997,2.943137659872805,2.943137659872805,2.4657263897312034,2.4657263897312034,2.1163486383808006,2.1163486383808006,2.0270961664569724,2.0270961664569724,1.9148205660236228,1.9148205660236228,2.0,2.0,2.866753175104891,2.866753175104891,2.0038367651355613,2.0038367651355613,Ace Ventura: When Nature Calls (1995),2.6074123603018435,20938
18,2066,2.4456231735599387,2.4456231735599387,4.145695402468478,4.145695402468478,4.087475075567996,4.087475075567996,3.522877006973063,3.522877006973063,3.2909109286916602,3.2909109286916602,2.7743129275691856,2.7743129275691856,4.378360345209872,4.378360345209872,4.246328904475009,4.246328904475009,3.8369780324352134,3.8369780324352134,4.0,4.0,"Gods Must Be Crazy, The (1980)",3.652831476006368,8794
19,20,3.1489469550502647,3.1489469550502647,4.111153795565402,4.111153795565402,4.16842909082297,4.16842909082297,2.9656051538837302,2.9656051538837302,3.808808817709719,3.808808817709719,2.186803474272524,2.186803474272524,3.469458638871943,3.469458638871943,4.100291027869021,4.100291027869021,3.6307755105150092,3.6307755105150092,3.5211631648195136,3.5211631648195136,Get Shorty (1995),3.581688505556477,24116
20,21,2.0730306051624168,2.0730306051624168,3.7559207372320045,3.7559207372320045,2.963483049715792,2.963483049715792,1.9505853794467796,1.9505853794467796,2.2597303532016624,2.2597303532016624,2.8221318267238487,2.8221318267238487,3.386163427675997,3.386163427675997,3.565307899559771,3.565307899559771,3.4571415997994293,3.4571415997994293,2.9025820635211814,2.9025820635211814,Copycat (1995),3.319399677679291,9928
21,23,2.1189900778186668,2.1189900778186668,3.458316191281115,3.458316191281115,3.006641521300112,3.006641521300112,2.476982488478457,2.476982488478457,1.9619636677158225,1.9619636677158225,2.793267621840273,2.793267621840273,3.0503245733631004,3.0503245733631004,3.698697625840937,3.698697625840937,3.5885342650068153,3.5885342650068153,2.789426996554171,2.789426996554171,Powder (1995),3.199849454271735,7971
22,24,2.687426938856875,2.687426938856875,4.554637803877627,4.554637803877627,4.6433178327930325,4.6433178327930325,3.3220725499046195,3.3220725499046195,2.9395402215373863,2.9395402215373863,4.0,4.0,2.7621033333194602,2.7621033333194602,4.0,4.0,4.0430323027027,4.0430323027027,3.9353314183605064,3.9353314183605064,Leaving Las Vegas (1995),3.689509581032803,21553
